County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Has Program Published,Published Rating,Has an Accreditation,Published Rubric Version,Date Published,Expiration Date,Total TAS Requests,Most Recent TAS request,Achievements,Accreditations,Alternative Pathways
Harford,DOD198287,Center,Morale Welfare Recreation - Child Youth and School Services,Aberdeen City,21005,Yes,1,Yes,1,Yes,3,Oct 25 2018,Jan 30 2020,0,,,,National Association for the Education of Young Children (NAEYC)
Anne Arundel,DOD134771,Center,Child Development Center I,Fort Meade,20755,Yes,1,Yes,1,Yes,3,Oct 25 2018,Jan 02 2020,0,,,,National Association for the Education of Young Children (NAEYC)
Howard,99796,Center,Knowledge Beginnings-073204,Laurel,20723,Yes,1,Yes,1,Yes,3,Oct 25 2018,Aug 14 2020,0,,,,National Association for the Education of Young Children (NAEYC)
Anne Arundel,99773,Registered Family Home,Agnes Siscoe,Annapolis,21403,Yes,1,Yes,1,No,2,Dec 20 2018,Dec 12 2020,0,,,,
Baltimore,99623,Center,PACT:Helping Children With Special Needs,Baltimore,21244,Yes,5,Yes,5,Yes,3,Oct 25 2018,Sep 09 2020,0,,,,MSDE
Washington,99613,Center,Noland Head Start Center,Hagerstown,21740,Yes,5,Yes,5,Yes,3,Oct 25 2018,Sep 16 2020,0,,,,MSDE
Baltimore City,99580,Registered Family Home,Valarie Myers,Baltimore,21206,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 17 2020,0,,,,
Baltimore,99560,Center,Child Care of Windsor,Baltimore,21244,Yes,1,Yes,1,Yes,3,Oct 25 2018,Jan 22 2020,0,,,,
Allegany,99555,Center,HRDC Frostburg Area Head Start,Frostburg,21532,Yes,1,Yes,1,Yes,3,Dec 11 2018,Oct 24 2020,0,,,,MSDE
Anne Arundel,98874,Center,Saint Jane Frances Extended Day Care,Pasadena,21122,Yes,1,Yes,1,No,1,Oct 25 2018,Jul 07 2020,0,,,,
Baltimore City,98837,Registered Family Home,Marion Clinton,Baltimore,21206,Yes,1,Yes,1,No,2,Oct 25 2018,Sep 05 2020,0,,,,
Baltimore,98829,Registered Family Home,Rachelle Miller,Baltimore,21220,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jan 25 2020,0,,,,
Allegany,98746,Registered Family Home,Jade Niemiec,Cumberland,21502,Yes,1,Yes,1,Yes,2,Oct 25 2018,Mar 11 2020,0,,,,
