County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Publishing Status,Published Rating,Published Rubric Version,Date Published,Expiration Date,Application Acceptance Date,Achievements,Accreditations,Alternative Pathways
Harford,DOD198287,Center,Morale Welfare Recreation - Child Youth and School Services,Aberdeen,21005,Yes,1,Active,1,3,Dec 13 2022,Dec 13 2023,Jun 26 2015,,,National Association for the Education of Young Children (NAEYC)
Anne Arundel,DOD134771,Center,Child Development Center I,Fort Meade,20755,Yes,0,Inactive,2,3,Sep 16 2021,Sep 16 2022,Apr 25 2014,,,National Association for the Education of Young Children (NAEYC)
Baltimore City,99836,Family Childcare,Gisele Welch,Baltimore,21214,Yes,1,Active,1,2,Aug 05 2022,Aug 05 2023,Mar 20 2015,,,No Additional Staff
Howard,99796,Center,Knowledge Beginnings-073204,Laurel,20723,Yes,1,Active,1,3,Oct 28 2022,Oct 28 2023,Dec 27 2013,Accredited Program 2026-10-01,National Association for the Education of Young Children (NAEYC) 2026-10-01,National Association for the Education of Young Children (NAEYC)
Baltimore,99623,Center,PACT:Helping Children With Special Needs,Baltimore,21244,Yes,5,Active,5,3,Jun 23 2022,Jun 23 2023,Apr 17 2013,,Maryland Accreditation (MSDE) 2023-04-03,MSDE
Washington,99613,Center,Noland Head Start Center,Hagerstown,21740,Yes,5,Active,5,3,Jun 23 2022,Jun 23 2023,Oct 04 2014,,,MSDE
Baltimore City,99580,Family Childcare,Valarie Myers,Baltimore,21206,Yes,1,Active,1,2,Dec 06 2022,Dec 06 2023,Nov 22 2013,,,
Baltimore,99560,Center,Child Care of Windsor,Baltimore,21244,Yes,1,Active,1,3,Nov 23 2022,Nov 23 2023,Sep 28 2013,,,
Allegany,99555,Center,HRDC Frostburg Area Head Start,Frostburg,21532,Yes,5,Active,5,3,Dec 22 2022,Dec 22 2023,Dec 27 2013,,,MSDE
Baltimore City,98837,Family Childcare,Marion Clinton,Baltimore,21206,Yes,1,Active,1,2,Sep 08 2022,Sep 08 2023,May 29 2015,,,
