County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Publishing Status,Published Rating,Published Rubric Version,Date Published,Expiration Date,Application Acceptance Date,Achievements,Accreditations,Alternative Pathways,Assigned Program Coordinator
Harford,DOD198287,Center,Morale Welfare Recreation - Child Youth and School Services,Aberdeen,21005,Yes,0,Inactive,1,3,Dec 13 2022,Dec 13 2023,Jun 26 2015,,,National Association for the Education of Young Children (NAEYC),
Anne Arundel,DOD141856,Center,Child Development Center II,Fort Meade,20755,Yes,1,Active,1,3,May 12 2023,May 11 2024,Jul 14 2014,,,National Association for the Education of Young Children (NAEYC),Julie Mitchell
Baltimore City,99836,Family Childcare,Gisele Welch,Baltimore,21214,Yes,1,Active,1,2,Jul 06 2023,Jul 05 2024,Mar 20 2015,,,No Additional Staff,Amy Brannock
Howard,99796,Center,Knowledge Beginnings-073204,Laurel,20723,Yes,3,Active,3,3,Nov 03 2023,Nov 02 2024,Dec 27 2013,Accredited Program 2026-10-01,National Association for the Education of Young Children (NAEYC) 2026-10-01,National Association for the Education of Young Children (NAEYC),Rachel Dorf
Baltimore,99623,Center,PACT:Helping Children With Special Needs,Baltimore,21244,Yes,1,Active,5,3,Jun 05 2023,Jun 04 2024,Apr 17 2013,,,MSDE,Karina Cortes Hudack
Washington,99613,Center,Noland Head Start Center,Hagerstown,21740,Yes,5,Active,5,3,Jun 21 2023,Jun 20 2024,Oct 04 2014,,,MSDE  | Maryland Accreditation 2026-06-30,Allison Rudoy
Baltimore City,99580,Family Childcare,Valarie Myers,Baltimore,21206,Yes,1,Active,1,2,Nov 10 2023,Nov 09 2024,Nov 22 2013,,,,Beth Snyder
Baltimore,99560,Center,Child Care of Windsor,Baltimore,21244,Yes,2,Active,2,3,Oct 27 2023,Oct 26 2024,Sep 28 2013,,,,Jennifer Blandford
Allegany,99555,Center,HRDC Frostburg Area Head Start,Frostburg,21532,Yes,1,Active,1,3,Nov 30 2023,Nov 29 2024,Dec 27 2013,,,MSDE,Allison Rudoy
Baltimore City,98837,Family Childcare,Marion Clinton,Baltimore,21206,Yes,1,Active,1,2,Sep 06 2023,Sep 05 2024,May 29 2015,,,,Beth Snyder
Allegany,98746,Family Childcare,Jade Niemiec,Cumberland,21502,Yes,1,Active,1,2,Oct 11 2023,Oct 10 2024,Dec 27 2013,,,,Sally Gill
Baltimore City,98744,Family Childcare,Robin Dickson,Baltimore,21215,Yes,5,Active,5,2,Oct 02 2023,Oct 01 2024,Dec 21 2012,,,No Additional Staff  | National Association for Family Child Care (NAFCC) 2025-11-01,Nancy Gumbel
Calvert,98738,Center,Dawns Early Light - Dunkirk,Dunkirk,20754,Yes,3,Active,3,3,Apr 11 2023,Apr 10 2024,Dec 16 2013,,,MSDE  | Maryland Accreditation 2026-05-31,Sarah Thistle
Anne Arundel,98524,Center,Calvary Center,Annapolis,21401,Yes,2,Active,2,3,Feb 20 2023,Feb 20 2024,Jul 01 2013,,,,Jennifer Blandford
Baltimore,98399,Family Childcare,Cheryl Tazewell,Baltimore,21222,Yes,3,Active,3,2,May 02 2023,May 01 2024,Oct 24 2013,,,No Additional Staff,Trish Miller
Prince George's,258763,Family Childcare,Felicia Ferrell,Upper Marlboro,20772,Yes,1,Active,1,2,Aug 02 2023,Aug 01 2024,Oct 02 2015,,,,Theresa Lutz
Prince George's,98121,Family Childcare,Lisa Garnier,Hyattsville,20782,Yes,1,Active,1,2,Aug 16 2023,Aug 15 2024,Jan 24 2014,,,,Nancy Gumbel
Baltimore City,98101,Family Childcare,Fay Butler,Baltimore,21222,Yes,3,Active,3,2,Jun 15 2023,Jun 14 2024,Apr 03 2015,,,No Additional Staff,Amy Brannock
Baltimore,98084,Family Childcare,Tanya Blackmon,Baltimore,21207,Yes,5,Active,5,2,Apr 07 2023,Apr 06 2024,Aug 22 2013,,,No Additional Staff  | National Association for Family Child Care (NAFCC) 2026-04-01,Sally Gill
Anne Arundel,255666,Family Childcare,LaSonia Young,Glen Burnie,21061,Yes,1,Active,1,2,Apr 20 2023,Apr 19 2024,Apr 28 2017,,,No Additional Staff,Amy Brannock
Worcester,97420,Family Childcare,Paula Denise Mills,Berlin,21811,Yes,3,Active,3,2,Apr 17 2023,Apr 16 2024,Dec 04 2012,Quality Business Practices,,No Additional Staff,Theresa Lutz
Carroll,97356,Family Childcare,Karen Betcher,Eldersburg,21784,Yes,3,Active,3,2,Aug 29 2023,Aug 28 2024,Dec 16 2013,,,No Additional Staff,Wendy Dantzler
Carroll,97135,Center,Celebree Learning Center - Eldersburg,Eldersburg,21784,Yes,5,Active,5,3,Nov 09 2023,Nov 08 2024,Mar 06 2015,,,Maryland Accreditation 2026-02-28,Laura Suguiyama
Baltimore City,96926,Family Childcare,Mattie Biggers-Rigsby,Baltimore,21206,Yes,1,Active,1,2,Sep 27 2023,Sep 26 2024,Mar 28 2014,,,No Additional Staff,Beth Snyder
Baltimore City,96755,Family Childcare,Chantell Hudson,Baltimore,21230,Yes,3,Active,3,2,Apr 12 2023,Apr 11 2024,Sep 06 2013,Eco-Friendly Program  | Quality Business Practices  | Accredited Program 2026-10-02,National Association for Family Child Care (NAFCC) 2026-10-01,No Additional Staff,Sally Gill
Baltimore,96739,Family Childcare,Denise Angles,Ellicott City,21043,Yes,1,Active,1,2,Dec 01 2023,Nov 30 2024,Mar 20 2015,,,,Amy Brannock
Anne Arundel,96585,Family Childcare,Darlene Carroll,Annapolis,21401,Yes,1,Active,1,2,Mar 01 2023,Feb 29 2024,Jul 28 2014,,,,Sarah Thistle
Washington,96339,Family Childcare,Daphne Hart,Hagerstown,21740,Yes,1,Active,1,2,Oct 23 2023,Oct 22 2024,Mar 11 2014,,,,Sally Gill
Prince George's,96302,Family Childcare,Ann Stewart,Clinton,20735,Yes,1,Active,1,2,Oct 05 2023,Oct 04 2024,Oct 20 2014,,,,Michelle Gray
Prince George's,96297,Family Childcare,Catherine Garner,Mount Rainier,20712,Yes,1,Active,1,2,Dec 05 2023,Dec 04 2024,Dec 27 2013,,,,Michelle Gray
Baltimore City,95655,Family Childcare,Donna Chiarella,Baltimore,21206,Yes,3,Active,3,2,Nov 16 2023,Nov 15 2024,Apr 18 2014,,,No Additional Staff,Beth Snyder
Baltimore City,95608,Family Childcare,Lauren Corn,Baltimore,21217,Yes,1,Active,1,2,Sep 12 2023,Sep 11 2024,Nov 22 2013,,,,Sally Gill
Baltimore City,95492,Family Childcare,Antoinette Douglas,Baltimore,21229,Yes,1,Active,1,2,Feb 06 2023,Feb 06 2024,Jul 01 2013,,,,Michelle Gray
Caroline,95484,Family Childcare,Sandra Wilson,Preston,21655,Yes,1,Active,1,2,Jun 01 2023,May 31 2024,Nov 26 2014,,,,Theresa Lutz
Montgomery,95222,Center,Reginald S. Lourie Center for Infants and Young Children,Rockville,20852,Yes,5,Active,5,3,Aug 10 2023,Aug 09 2024,Dec 07 2012,,,National Association for the Education of Young Children (NAEYC),Laura Suguiyama
Prince George's,95007,Center,Young Stars Early Learning Center,Temple Hills,20748,Yes,1,Active,1,3,Jul 10 2023,Jul 09 2024,Mar 06 2015,,,,Theresa Lutz
Anne Arundel,94952,Center,Super Kids Place Incorporated @ Belvedere ES,Arnold,21012,Yes,1,Active,1,2,Oct 05 2023,Oct 04 2024,Feb 06 2015,,,,Theresa Lutz
Wicomico,94842,Center,King's Kids Academy,Salisbury,21804,Yes,1,Active,5,3,Apr 19 2023,Apr 18 2024,Nov 27 2012,,,,Julie Mitchell
Prince George's,94799,Family Childcare,Cherrell Newman,Lanham,20706,Yes,1,Active,1,2,Oct 30 2023,Oct 29 2024,Dec 21 2014,,,,Theresa Lutz
Anne Arundel,94323,LOC,St. Margaret's Day School,Annapolis,21409,Yes,5,Active,5,3,Nov 29 2023,Nov 28 2024,May 12 2014,Health and Wellness  | Accredited Program 2024-05-01,National Association for the Education of Young Children (NAEYC) 2024-05-01,National Association for the Education of Young Children (NAEYC),Laura Suguiyama
Montgomery,94266,Center,Kids After Hours at Rockview,Kensington,20895,Yes,3,Active,3,2,Jul 21 2023,Jul 20 2024,Mar 28 2014,,,,Rachel Dorf
Anne Arundel,94211,Family Childcare,Reita Turro,Millersville,21108,Yes,5,Active,5,2,Feb 10 2023,Feb 10 2024,Mar 28 2014,Accredited Program 2024-06-24,,NAFCC  | No Additional Staff  | National Association for Family Child Care (NAFCC) 2024-06-28,Michelle Gray
Prince George's,93801,Family Childcare,Claire Hetsberger,Lanham,20706,Yes,1,Active,1,2,May 12 2023,May 11 2024,Nov 10 2017,,,,Theresa Lutz
Baltimore City,93548,Family Childcare,Nicole Whittaker,Baltimore,21230,Yes,1,Active,1,2,Oct 07 2023,Oct 06 2024,Nov 08 2013,,,No Additional Staff,Michelle Gray
Baltimore City,93547,Family Childcare,Avis Burke,Baltimore,21217,Yes,1,Active,1,2,Jan 24 2023,Jan 24 2024,May 01 2015,,,No Additional Staff,Michelle Gray
Baltimore,255943,Family Childcare,Lesia Partlow-Holmes,Baltimore,21227,Yes,1,Active,1,2,Jul 28 2023,Jul 27 2024,Nov 26 2014,,,,Theresa Lutz
Charles,92979,Family Childcare,Wendy Dingus,Bel Alton,20611,Yes,3,Active,3,2,Oct 25 2023,Oct 24 2024,Jul 01 2013,,,No Additional Staff,Sally Gill
