Row ID,Geography ID,Name,Variable Code,Variable,Value,Variable Unit,Date,Location
19001_2022_CAINC1-1_annual,19001,Adair,CAINC1-1,Personal income,507103,Thousands of dollars,12/31/2022,POINT (-94.478164 41.328528)
19003_2006_CAINC1-1_annual,19003,Adams,CAINC1-1,Personal income,116672,Thousands of dollars,12/31/2006,POINT (-94.696906 41.021656)
19003_2022_CAINC1-1_annual,19003,Adams,CAINC1-1,Personal income,244311,Thousands of dollars,12/31/2022,POINT (-94.696906 41.021656)
19005_2003_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,355247,Thousands of dollars,12/31/2003,POINT (-91.382751 43.274964)
19005_2004_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,383189,Thousands of dollars,12/31/2004,POINT (-91.382751 43.274964)
19005_2005_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,398089,Thousands of dollars,12/31/2005,POINT (-91.382751 43.274964)
19005_2006_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,413647,Thousands of dollars,12/31/2006,POINT (-91.382751 43.274964)
19005_2007_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,437232,Thousands of dollars,12/31/2007,POINT (-91.382751 43.274964)
19005_2008_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,460818,Thousands of dollars,12/31/2008,POINT (-91.382751 43.274964)
19005_2009_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,450250,Thousands of dollars,12/31/2009,POINT (-91.382751 43.274964)
19005_2010_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,496506,Thousands of dollars,12/31/2010,POINT (-91.382751 43.274964)
19005_2011_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,539268,Thousands of dollars,12/31/2011,POINT (-91.382751 43.274964)
19005_2012_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,545641,Thousands of dollars,12/31/2012,POINT (-91.382751 43.274964)
19005_2013_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,572507,Thousands of dollars,12/31/2013,POINT (-91.382751 43.274964)
19005_2014_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,589452,Thousands of dollars,12/31/2014,POINT (-91.382751 43.274964)
19005_2015_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,583744,Thousands of dollars,12/31/2015,POINT (-91.382751 43.274964)
19005_2016_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,590379,Thousands of dollars,12/31/2016,POINT (-91.382751 43.274964)
19005_2017_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,611775,Thousands of dollars,12/31/2017,POINT (-91.382751 43.274964)
19005_2018_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,638226,Thousands of dollars,12/31/2018,POINT (-91.382751 43.274964)
19005_2019_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,650953,Thousands of dollars,12/31/2019,POINT (-91.382751 43.274964)
19005_2020_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,684221,Thousands of dollars,12/31/2020,POINT (-91.382751 43.274964)
19005_2021_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,747795,Thousands of dollars,12/31/2021,POINT (-91.382751 43.274964)
19005_2022_CAINC1-1_annual,19005,Allamakee,CAINC1-1,Personal income,768013,Thousands of dollars,12/31/2022,POINT (-91.382751 43.274964)
19007_1997_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,251742,Thousands of dollars,12/31/1997,POINT (-92.873061 40.744296)
19007_1998_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,265081,Thousands of dollars,12/31/1998,POINT (-92.873061 40.744296)
19007_1999_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,270610,Thousands of dollars,12/31/1999,POINT (-92.873061 40.744296)
19007_2000_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,287090,Thousands of dollars,12/31/2000,POINT (-92.873061 40.744296)
