name,year,value,count_salary_employee,median_salary_employee,mean_salary_employee,mean_diff,median_diff,geography_id
Adair,2007,31820,72,41381.55,38552.74083333334,-6732.740833333337,-9561.550000000003,19001
Adair,2008,37435,66,45126.2,43811.61939393939,-6376.6193939393925,-7691.199999999997,19001
Adair,2009,35588,68,46382.9,40478.26014705883,-4890.260147058827,-10794.900000000001,19001
Adair,2010,35015,71,43058.08,37250.714788732395,-2235.7147887323954,-8043.080000000002,19001
Adair,2011,40249,70,46944.41,40540.66785714286,-291.6678571428565,-6695.4100000000035,19001
Adair,2012,40842,62,48669.62,42905.73725806452,-2063.737258064517,-7827.620000000003,19001
Adair,2013,43033,65,42878.4,38046.00369230769,4986.996307692309,154.59999999999854,19001
Adair,2014,43300,58,48947.6,41826.42103448276,1473.5789655172412,-5647.5999999999985,19001
Adair,2015,45382,56,49184.145000000004,45576.8875,-194.8874999999971,-3802.145000000004,19001
Adair,2016,44319,48,52789.1,49986.9275,-5667.927499999998,-8470.099999999999,19001
Adair,2017,46485,44,56219.045,50680.20818181818,-4195.208181818183,-9734.044999999998,19001
Adair,2018,49454,45,52080.93,48161.44088888889,1292.5591111111135,-2626.9300000000003,19001
Adair,2019,49391,52,50874.92,45354.55653846154,4036.44346153846,-1483.9199999999983,19001
Adair,2020,53544,53,49749.76,44737.602075471696,8806.397924528304,3794.239999999998,19001
Adair,2021,64783,56,44459.84,43782.89071428571,21000.109285714287,20323.160000000003,19001
Adair,2022,67668,54,51550.604999999996,49762.32833333333,17905.67166666667,16117.395000000004,19001
Adams,2007,30347,34,43214.134999999995,38706.32852941177,-8359.328529411767,-12867.134999999995,19003
Adams,2008,36909,33,43757.6,42298.73090909091,-5389.730909090911,-6848.5999999999985,19003
Adams,2009,36786,39,44025.6,39890.01076923077,-3104.010769230772,-7239.5999999999985,19003
Adams,2010,37222,37,48833.1,42526.96081081081,-5304.960810810808,-11611.099999999999,19003
Adams,2011,47030,32,46034.630000000005,42319.9546875,4710.0453124999985,995.3699999999953,19003
Adams,2012,47507,32,49467.21,42847.25125,4659.748749999999,-1960.2099999999991,19003
Adams,2013,55342,40,48259.55,41847.18,13494.82,7082.449999999997,19003
Adams,2014,56975,43,44854.07,38348.90837209302,18626.09162790698,12120.93,19003
Adams,2015,63773,35,41953.6,36437.45714285714,27335.542857142857,21819.4,19003
Adams,2016,58729,30,46703.55,43423.01633333333,15305.983666666667,12025.449999999997,19003
Adams,2017,56452,34,48029,43033.507352941175,13418.492647058825,8423,19003
Adams,2018,56660,35,53806.08,48306.40542857143,8353.59457142857,2853.9199999999983,19003
Adams,2019,54678,42,48840.619999999995,41344.25,13333.75,5837.380000000005,19003
Adams,2020,52390,34,53744,51992.68882352941,397.31117647059,-1354,19003
Adams,2021,64345,31,55274.75,51582.62774193548,12762.372258064519,9070.25,19003
Allamakee,2007,30501,91,32901.6,27435.69956043956,3065.3004395604403,-2400.5999999999985,19005
Allamakee,2008,32169,63,43512,38522.44222222222,-6353.44222222222,-11343,19005
Allamakee,2009,31568,66,44321.7,39016.77378787879,-7448.773787878788,-12753.699999999997,19005
Allamakee,2010,34508,63,42936.2,38538.276190476194,-4030.2761904761937,-8428.199999999997,19005
Allamakee,2011,37769,67,39150.8,37910.09134328358,-141.0913432835805,-1381.800000000003,19005
