name,geography_id,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adair,19001,9561.550000000003,7691.199999999997,10794.900000000001,8043.080000000002,6695.4100000000035,7827.620000000003,-154.59999999999854,5647.5999999999985,3802.145000000004,8470.099999999999,9734.044999999998,2626.9300000000003,1483.9199999999983,-3794.239999999998,-20323.160000000003,-16117.395000000004
Adams,19003,12867.134999999995,6848.5999999999985,7239.5999999999985,11611.099999999999,-995.3699999999953,1960.2099999999991,-7082.449999999997,-12120.93,-21819.4,-12025.449999999997,-8423,-2853.9199999999983,-5837.380000000005,1354,-9070.25,-13716.615000000005
Allamakee,19005,2400.5999999999985,11343,12753.699999999997,8428.199999999997,1381.800000000003,6790.654999999999,4996.959999999999,-344.75,-1948.1600000000035,-2109.5699999999997,2823.7599999999948,1979.3550000000032,-1223.2149999999965,-3762.5999999999985,-3594,-43
Appanoose,19007,10778.839999999997,9037.949999999997,12630.025000000001,13610.199999999997,-3125.16,7105.2249999999985,9508.559999999998,5586.4000000000015,9023.230000000003,15617.805,10929.485,16784.300000000003,11528.599999999999,12837.345000000001,8679.089999999997,6048.080000000002
Audubon,19009,-831.125,2308.399999999994,7569.800000000003,3052.779999999999,-2119.279999999999,4951,4525.199999999997,6615.065000000002,6916.119999999995,9418,13931.599999999999,-1681.5999999999985,2681.790000000001,1020.8549999999959,-10554.375,-21347.4
Benton,19011,332.0249999999942,-799.6699999999983,2144.6900000000023,915.1300000000047,410.5899999999965,1742.5,394.40000000000146,-4163.620000000003,-655.0500000000029,-4003.959999999999,-1224.4800000000032,-2225.824999999997,-3781.644999999997,-2498.5999999999985,-11579,-12507.980000000003
Black Hawk,19013,-1469.9300000000003,9089.220000000001,11357.800000000003,9633.740000000005,8370,9766.065000000002,11454.89,10968.099999999999,9655.599999999999,10979.86,10503,8053.300000000003,7149,4180.580000000002,2388,-167.34999999999854
Boone,19015,2435.6500000000015,2941,3528.25,3046.6600000000035,1294,2008.645000000004,1690.5,2763.220000000001,3130,5515,6694.519999999997,4636.050000000003,3781,2517.709999999999,373.9100000000035,433.0400000000009
Bremer,19017,3731.5999999999985,5741.5999999999985,9958.43,6564.440000000002,3548.6200000000026,7658.5999999999985,7362.199999999997,7308.169999999998,5975.254999999997,4501.629999999997,4712.540000000001,3412,1861.5599999999977,-720.4000000000015,-3545.8600000000006,-12474.910000000003
Buchanan,19019,8369.794999999998,7619.050000000003,7803.199999999997,6274.489999999998,-457.6200000000026,4174.860000000001,355.83000000000175,1205.9599999999991,1576.6000000000058,4651.959999999999,3750.800000000003,2872.4000000000015,1793.3800000000047,-120.73500000000058,-7093,-9818
Buena Vista,19021,4710.050000000003,4805.889999999999,7986.830000000002,7974.604999999996,2612.269999999997,5366.5999999999985,6981,9689.599999999999,7713.270000000004,11459,11810.154999999999,7668.300000000003,299.77500000000146,-1384.3199999999997,-608.3199999999997,-4282.699999999997
Butler,19023,304.4349999999977,3856.5800000000017,6484.080000000002,2040.8150000000023,-2571.1800000000003,1539,3639.5999999999985,7571.675000000003,7432.720000000001,10151.775000000001,8862.5,7003.0999999999985,5535.705000000002,4603.800000000003,-3339.6299999999974,-8823.39
Calhoun,19025,8778.330000000002,6846.1600000000035,12715.150000000001,10761.095000000001,6894.544999999998,10617.43,7353.739999999998,10587.100000000006,12466.214999999997,14484.809999999998,15778.769999999997,12414,9675.115000000005,6699.735000000001,-2428.2350000000006,-7026.065000000002
Carroll,19027,653.760000000002,2276.199999999997,6239.440000000002,4065.0149999999994,-813.1600000000035,1216.4850000000006,-882.4000000000015,954.5999999999985,2099.199999999997,4224.6500000000015,4992,-1835.2249999999985,-2716.199999999997,-412.59999999999854,-4199.0350000000035,-9256.410000000003
Cass,19029,9332.599999999999,9148.599999999999,11687.68,12231.300000000003,4058.895000000004,8542.794999999998,6957.300000000003,9002.199999999997,7242.199999999997,9524,9544.279999999999,6698.044999999998,5771.07,3905.084999999999,-2751.029999999999,-2579.290000000001
Cedar,19031,3626.040000000001,2433.0399999999936,5270.8399999999965,3466.6649999999936,800.8450000000012,1052.1399999999994,-122,-21.00999999999476,-1262.9800000000032,1156,722.5599999999977,-1076.6800000000003,-1380.6800000000003,-1782.4000000000015,-7982,-9272.059999999998
Cerro Gordo,19033,4225.3399999999965,7001.760000000002,11780.519999999997,11612.089999999997,3909.800000000003,2647.790000000001,3163.470000000001,-1029.1100000000006,-670.0699999999997,5877.6600000000035,10489.380000000005,6685.494999999995,7993.095000000001,5755.9749999999985,-1098.8300000000017,-12586.544999999998
Cherokee,19035,-11864.080000000002,-7545.024999999994,3331.800000000003,3871.449999999997,-1095.260000000002,-1036.800000000003,-1238.800000000003,-5494.255000000005,-8463.479999999996,-3301,-1542.8300000000017,-7142.07,-3112.980000000003,-4088.6399999999994,-15924.275000000001,-29381.260000000002
Chickasaw,19037,5968,8920.375,11029.839999999997,7500.68,2499.5149999999994,3402.1699999999983,2158.4400000000023,605.0650000000023,-162.6800000000003,3484.8799999999974,2330.540000000001,2858.1800000000003,3779.375,1531.550000000003,-14661.869999999995,-26340.240000000005
Clarke,19039,11616.145000000004,12535.440000000002,17101.28,16068.915,12749.599999999999,14898.029999999999,12638.400000000001,11966.580000000002,10728.074999999997,13904.949999999997,16627.08,13536,10350.300000000003,2026.1200000000026,2973.4449999999997,5440.195
Clay,19041,3227.864999999998,5476.199999999997,7310.43,3499.3499999999985,3487.4199999999983,5268.43,1037.5,7381.449999999997,1244.945000000007,6575.040000000001,5402.005000000005,3767.8700000000026,-1285.199999999997,-7336.550000000003,-9803.199999999997,-11857.239999999998
Clayton,19043,5385.4000000000015,11220.82,15281.019999999997,12283.599999999999,9672.369999999995,9479.705000000002,8268.470000000001,8662.395000000004,3504.949999999997,8248.79,10825.369999999995,8332.599999999999,349.1100000000006,-694.6500000000015,-1492.2949999999983,-11300.259999999995
Clinton,19045,5109.5999999999985,8466.854999999996,11135.230000000003,8683.580000000002,7824.199999999997,9010.975000000006,9308.005000000005,9384.489999999998,7566.244999999995,10252.75,9558.32,5752.809999999998,-1529.5800000000017,-1975.25,-5915.414999999994,-2644
Crawford,19047,4745.120000000003,3361.9749999999985,9270.684999999998,6729.654999999999,2705.3199999999997,5486.199999999997,5058.5999999999985,7229.705000000002,7931.834999999999,12076.480000000003,12248.800000000003,12547.199999999997,11940.400000000001,2723.9900000000052,-4540.380000000005,-4965.574999999997
Dallas,19049,-3010.4949999999953,-2747.5999999999985,-1213.25,-3559.3300000000017,-6563.585000000006,-5363.470000000001,-5848.860000000001,-7936.5899999999965,-11020.57,-9369.479999999996,-8148.639999999999,-10890.599999999999,-12320.800000000003,-15546.029999999999,-21093.57,-19897.735
Davis,19051,11350.955000000002,15378.599999999999,16269.800000000003,12994.720000000001,10085.800000000003,11039.699999999997,13263.599999999999,15922.300000000003,10890.279999999999,15077.980000000003,16082,12149.800000000003,-6486.200000000001,2771.125,-7246.199999999997,-5627.57
Decatur,19053,16113.300000000003,11450.669999999998,13055.349999999999,11830.875,18803.240000000005,21882.699999999997,19748.5,17909.485,18694.489999999998,22301.83,13601.690000000002,15545.29,7809.040000000001,5865.6500000000015,745.9700000000012,4145.080000000002
Delaware,19055,11355.400000000001,15459.29,19405.119999999995,13717.440000000002,9876.699999999997,12663.745000000003,5779.759999999995,9423.835,7909.5999999999985,12022.970000000001,7846.1600000000035,2448.459999999999,2149.959999999999,1655.3600000000006,-7678.059999999998,-6953.790000000001
Des Moines,19057,10153.080000000002,10514.239999999998,13120.080000000002,12806.474999999999,9023.370000000003,11364.599999999999,10679.550000000003,7197.489999999998,5362.404999999999,6438.895000000004,9839.599999999999,8584.940000000002,6282.540000000001,2008.1800000000003,-3617.6800000000003,-7223.919999999998
Dickinson,19059,-3800.3600000000006,-2235.230000000003,2360.800000000003,1256.4100000000035,4038.8199999999997,-151.7149999999965,-2229.040000000001,614.6600000000035,-1858.800000000003,2975.5999999999985,4818.5999999999985,3381.2149999999965,651.5999999999985,-5585.800000000003,-12574.589999999997,-23263.480000000003
Dubuque,19061,528.2799999999988,6258.5999999999985,8760.400000000001,7939.440000000002,7107.879999999997,8500.720000000001,7890,7116.4000000000015,6987,8251.635000000002,10042.79,5248.5350000000035,2503.6300000000047,-2105.404999999999,-9223.04,-10457.839999999997
Emmet,19063,9446.400000000001,8502.399999999994,10096.214999999997,7498,2492.4000000000015,895.4199999999983,-2463.510000000002,1260.4000000000015,505.9250000000029,11837.370000000003,11583.199999999997,8373.89,-3212,-1562.7200000000012,-6007.199999999997,-5912.779999999999
Fayette,19065,4001.6900000000023,8056.919999999998,11014.080000000002,10142.214999999997,423.0899999999965,2420.6699999999983,2935.5449999999983,3716.0699999999997,2656,5981.134999999995,6635.209999999999,4692.600000000006,2495.8899999999994,3910.645000000004,-3449,-3024.1200000000026
Floyd,19067,6351.870000000003,11371.18,11435.990000000005,10588.279999999999,4801.720000000001,8471.989999999998,5958.600000000006,8464.400000000001,5624,8970.010000000002,9689.919999999998,7560.639999999999,8452.259999999995,3097.980000000003,-6454.414999999994,-9370.760000000002
Franklin,19069,3071.470000000001,6000.024999999994,8354,4811.014999999999,-4093.1500000000015,-5645.919999999998,-6693.4000000000015,-4806.300000000003,-3316.4300000000003,5675.129999999997,3626,4796.800000000003,-6338,-2806.149999999994,-16924.72,-21390.96
Fremont,19071,5484.8499999999985,3064.834999999999,3322.0800000000017,5648.459999999999,4308.93,-93.19999999999709,2077.0599999999977,3579.114999999998,4890.735000000001,6123.879999999997,6762.595000000001,3008.9100000000035,-2321.9600000000064,-4077.850000000006,-10609.585,-10948.68
Greene,19073,8114.4000000000015,7792.005000000005,8749.309999999998,7718.3499999999985,3719.9949999999953,4529.5999999999985,3864.0800000000017,5019.730000000003,8382.279999999999,7524.540000000001,7655.830000000002,8934.120000000003,2289.3899999999994,3830.229999999996,-3961.1699999999983,-6947.9000000000015
Grundy,19075,-497.1800000000003,199.48999999999796,3396.5,1958.8300000000017,-2033.5699999999997,-2353.739999999998,-2448.649999999994,-47.724999999998545,-1905.6549999999988,2144.074999999997,2037.4300000000003,-394.5399999999936,-5368.980000000003,-8265.970000000001,-14088.199999999997,-17569.739999999998
Guthrie,19077,489.59999999999854,-2770.8800000000047,5045.8499999999985,5026.425000000003,2648.9349999999977,4352.290000000001,1085.324999999997,2964.239999999998,-966.375,3271.0899999999965,4500.809999999998,-202.16999999999825,1255.4949999999953,-6897.290000000001,-14540.599999999999,-11482.580000000002
Hamilton,19079,-1597.6600000000035,-733.3000000000029,8588.620000000003,4604.07,-1869,3056.154999999999,-3155.3300000000017,-5902,-2923.375,1910.979999999996,1551.199999999997,-1498.8899999999994,3202.9300000000003,2341.1100000000006,-6944.379999999997,-9952.104999999996
Hancock,19081,-11210.2,1991.800000000003,5433.519999999997,3886.8199999999997,-1601.0800000000017,-860.8000000000029,-6443.854999999996,801.2099999999991,3266.550000000003,3395,2563.3150000000023,5940.059999999998,4416,2266.4000000000015,-8583.035000000003,-11194.230000000003
Hardin,19083,426.08000000000175,628.8500000000058,5614.649999999994,3191.239999999998,-2000.0999999999985,-804.3099999999977,-1671.489999999998,-1172.0350000000035,391.5,4025.230000000003,4650.9100000000035,-978,-1849.6699999999983,-2907.524999999994,-15367.36,-23240.68
