team_key,mean_med,mean_mean,med_med,med_mean,years_active,team_number,country,nickname,count,country_groups,percent
frc1,22.78,24.11,23.12,23.38,28,1,USA,The Juggernauts,9,USA,32.14
frc100,22.85,24.2,19.53,21.08,30,100,USA,The Wildhats,8,USA,26.67
frc1002,17.54,18.61,15.82,16.52,22,1002,USA,CircuitRunners Robotics,9,USA,40.91
frc1011,18.45,20.55,16.08,17.52,22,1011,USA,CRUSH,9,USA,40.91
frc1014,23.17,23.69,21.51,23.37,22,1014,USA,Bad Robots,8,USA,36.36
frc1018,25.61,26.71,25.66,25.3,22,1018,USA,Pike RoboDevils,3,USA,13.64
frc102,24.67,24.94,23.66,24.57,27,102,USA,The Gearheads,6,USA,22.22
frc1023,32.97,33.16,31.97,32.55,22,1023,USA,Bedford Express,16,USA,72.73
frc1024,29.68,30.45,29.88,31.3,22,1024,USA,Kil-A-Bytes,11,USA,50
frc1025,28.67,29.3,27.96,29.92,22,1025,USA,Impi Warriors,7,USA,31.82
frc1027,20.71,21.75,21.05,21.49,22,1027,USA,Mechatronic Maniacs,2,USA,9.09
frc103,32.62,32.72,30.72,30.54,28,103,USA,Cybersonics,18,USA,64.29
frc1038,27.55,27.72,25.74,26.89,22,1038,USA,Lakota Robotics,9,USA,40.91
frc1051,19.4,20.42,21.21,20.61,22,1051,USA,Technical Terminators,1,USA,4.55
frc1056,25.61,26.93,26.47,29.2,22,1056,USA,Hot Rocks,1,USA,4.55
frc1058,25.04,25.43,24.38,23.96,22,1058,USA,PVC Pirates,8,USA,36.36
frc107,32.26,32.68,31.39,30.96,28,107,USA,Team R.O.B.O.T.I.C.S.,13,USA,46.43
frc1071,25.81,26.36,26,27.02,22,1071,USA,Team MAX,7,USA,31.82
frc1072,21.07,21.85,18.45,20.22,22,1072,USA,Harker Robotics,4,USA,18.18
frc1073,26.1,26.36,25.26,25.47,22,1073,USA,The Force Team,6,USA,27.27
frc1076,23.15,23.55,21.54,21.86,22,1076,USA,Pi Hi Samurai,3,USA,13.64
frc108,25.18,26.62,22.37,24.07,30,108,USA,SigmaC@T Robotics Team,12,USA,40
frc1086,25.47,26.73,24.56,27.54,22,1086,USA,Blue Cheese,12,USA,54.55
frc1089,25.81,26.44,26.92,27.48,22,1089,USA,Team Mercury,9,USA,40.91
frc1091,20.13,21.58,17.39,19.57,22,1091,USA,Oriole Assault,1,USA,4.55
frc1099,22.46,23.2,22.15,22.74,22,1099,USA,DiscoTechs,3,USA,13.64
frc11,29.18,29.18,28.64,29.18,28,11,USA,MORT,17,USA,60.71
frc1100,26.43,26.82,26.1,25.97,22,1100,USA,Inverse Polarity,6,USA,27.27
frc1102,23.92,24.75,21.74,22.56,22,1102,USA,M'Aiken Magic,8,USA,36.36
frc1108,25.08,25.7,28.22,28.11,22,1108,USA,Panther Robotics,10,USA,45.45
frc111,38.94,38.93,36.76,37.19,29,111,USA,WildStang,20,USA,68.97
frc1111,23.59,23.62,24.52,24.24,22,1111,USA,Power Hawks Robotics,7,USA,31.82
frc1114,43.06,43.54,42.96,41.95,22,1114,Canada,Simbotics,20,Canada,90.91
frc1126,29.69,30.17,26.58,28.15,22,1126,USA,SPARX,10,USA,45.45
frc1138,24.52,24.74,25.64,25.95,22,1138,USA,Eagle Engineering,10,USA,45.45
frc114,26.67,27.16,28.01,28.73,28,114,USA,Eaglestrike,6,USA,21.43
frc1143,21.44,22.25,21.41,21.1,22,1143,USA,Cruzin' Comets,4,USA,18.18
frc115,26,26.86,24.28,23.02,27,115,USA,MVRT,9,USA,33.33
frc1153,27.05,27.04,28.2,27.44,22,1153,USA,Timberwolves,10,USA,45.45
frc1155,18.62,20.18,15.2,16.7,22,1155,USA,SciBorgs,5,USA,22.73
frc1156,21.25,21.91,19.99,21.13,22,1156,Brazil,Under Control,11,Central/South America,50
frc1159,17.22,18.58,17.38,17.84,22,1159,USA,Ramona Rampage,1,USA,4.55
frc116,22.54,23.52,23.1,23.61,29,116,USA,Epsilon Delta,6,USA,20.69
frc1160,19.48,21.11,17.44,21.75,22,1160,USA,Titanium Robotics,1,USA,4.55
frc1165,20.07,20.92,20.31,20.21,22,1165,USA,Team Paradise,5,USA,22.73
frc1168,20.28,20.93,20.92,19.6,22,1168,USA,Malvern Robotics,1,USA,4.55
frc117,16.59,18.19,13.39,15.21,27,117,USA,Steel Dragons Robotics,2,USA,7.41
frc1178,18.61,19.38,15.24,17.56,22,1178,USA,DURT  (De Smet Ultimate Robotics Team),2,USA,9.09
frc118,37.45,37.54,41.18,39.22,28,118,USA,Robonauts,20,USA,71.43
frc1188,21.73,23.73,22.5,23.02,22,1188,USA,Ravens,6,USA,27.27
frc1189,23.45,24.5,25.29,25.87,22,1189,USA,Gearheads,5,USA,22.73
frc1197,25.92,25.73,25.88,24.8,22,1197,USA,TorBots,3,USA,13.64
frc120,23.77,25.31,24.78,23.53,30,120,USA,Youth Tech Academy Red Dragons,19,USA,63.33
frc1208,24.15,24.32,24.67,22.94,22,1208,USA,Metool Brigade,8,USA,36.36
frc1209,17.05,17.81,16.9,16.29,22,1209,USA,Robo Hornets,3,USA,13.64
frc1212,19.51,20.65,21.32,23.12,22,1212,USA,Sentinels,4,USA,18.18
frc1218,31.82,32.04,32.66,32.72,22,1218,USA,SCH Robotics,18,USA,81.82
frc122,24.07,25.26,22.73,25.79,28,122,USA,NASA Knights,12,USA,42.86
frc1225,18.46,19.65,18.27,19.62,22,1225,USA,The Gorillas,1,USA,4.55
frc123,24.91,25.89,22.93,24.49,28,123,USA,Team - Cosmos,6,USA,21.43
frc1241,31.08,32.37,32.54,33.89,21,1241,Canada,THEORY6,15,Canada,71.43
