track_name,artist(s)_name,artist_count,released_year,released_decade,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,Danceability (%),Positivity (%),energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,,
Blinding Lights,The Weeknd,1,2019,2010,11,29,43899,69,3703895074,672,199,"3,421",20,,171,C#,Major,50,38,80,0,0,9,7,,
Shape of You,Ed Sheeran,1,2017,2010,1,6,32181,10,3562543890,33,0,"6,808",7,0,96,C#,Minor,83,93,65,58,0,9,8,,
Someone You Loved,Lewis Capaldi,1,2018,2010,11,8,17836,53,2887241814,440,125,"1,800",0,,110,C#,Major,50,45,41,75,0,11,3,,
Dance Monkey,Tones and I,1,2019,2010,5,10,24529,0,2864791672,533,167,"3,595",6,,98,F#,Minor,82,54,59,69,0,18,10,,
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,2010,10,9,24094,78,2808096550,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5,,
One Dance,"Drake, WizKid, Kyla",3,2016,2010,4,4,43257,24,2713922350,433,107,"3,631",0,26,104,C#,Major,77,36,63,1,0,36,5,,
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,2020,7,9,17050,36,2665343922,492,99,798,31,0,170,C#,Major,59,48,76,4,0,10,5,,
Believer,Imagine Dragons,1,2017,2010,1,31,18986,23,2594040133,250,121,"2,969",10,31,125,A#,Minor,77,74,78,4,0,23,11,,
Closer,"The Chainsmokers, Halsey",2,2016,2010,5,31,28032,0,2591224264,315,159,"2,179",0,44,95,G#,Major,75,64,52,41,0,11,3,,
Starboy,"The Weeknd, Daft Punk",2,2016,2010,9,21,29536,79,2565529693,281,137,"2,445",1,140,186,G,Major,68,49,59,16,0,13,28,,
Perfect,Ed Sheeran,1,2017,2010,1,1,16596,13,2559529074,7,0,"2,094",0,0,95,G#,Major,60,17,45,16,0,11,2,,
Heat Waves,Glass Animals,1,2020,2020,6,28,22543,63,2557975762,386,144,707,28,,81,B,Major,76,53,53,44,0,9,9,,
As It Was,Harry Styles,1,2022,2020,3,31,23575,130,2513188493,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,,
Se��o,"Shawn Mendes, Camila Cabello",2,2019,2010,6,19,15010,2,2484812918,453,50,"1,785",1,8,117,A,Minor,76,77,52,4,0,8,3,,
Say You Won't Let Go,James Arthur,1,2016,2010,9,9,15722,16,2420461338,231,37,"1,509",0,13,99,A#,Major,40,45,56,69,0,9,5,,
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,2010,8,11,15032,30,2355719893,221,96,"1,078",2,136,115,E,Minor,35,12,30,93,0,10,3,,
Watermelon Sugar,Harry Styles,1,2019,2010,11,17,21915,34,2322580122,437,115,"1,212",12,,95,,Major,55,56,82,12,0,34,5,,
Don't Start Now,Dua Lipa,1,2019,2010,10,31,27119,0,2303033973,532,77,"1,535",3,8,124,B,Minor,79,68,79,1,0,10,8,,
Lucid Dreams,Juice WRLD,1,2017,2010,6,15,14749,0,2288695111,188,34,710,0,5,84,B,Minor,44,22,48,38,0,33,24,,
Sweater Weather,The Neighbourhood,1,2012,2010,5,14,16413,61,2282771485,166,87,"1,056",1,,124,A#,Major,61,41,81,5,2,10,3,,
Thinking Out Loud,Ed Sheeran,1,2014,2010,1,1,33032,0,2280566092,363,129,"3,895",0,28,79,D,Major,78,58,45,47,0,18,3,,
Photograph,Ed Sheeran,1,2014,2010,6,20,18778,3,2236667932,228,105,"2,453",0,84,108,E,Major,61,20,38,61,0,10,5,,
Something Just Like This,"The Chainsmokers, Coldplay",2,2017,2010,2,22,23375,21,2204080728,336,188,"2,692",3,30,103,B,Minor,61,47,65,3,0,17,4,,
Bohemian Rhapsody - Remastered 2011,Queen,1,1975,1970,10,31,40112,3,2197010679,321,162,"5,691",8,17,71,,Minor,41,23,40,27,0,30,5,,
Shallow,"Lady Gaga, Bradley Cooper",2,2018,2010,9,27,16636,12,2159346687,368,155,"2,854",6,121,96,G,Major,57,30,40,38,0,26,3,,
Take Me To Church,Hozier,1,2013,2010,9,13,23804,31,2135158446,187,99,"4,623",1,0,129,E,Minor,57,41,66,63,0,12,5,,
Circles,Post Malone,1,2019,2010,8,30,19664,16,2132335812,391,73,633,3,37,120,,Major,70,59,75,24,0,9,4,,
Love Yourself,Justin Bieber,1,2015,2010,11,9,22730,5,2123309722,289,87,"2,430",0,36,100,E,Major,61,53,38,84,0,28,44,,
All of Me,John Legend,1,2013,2010,8,1,27221,0,2086124197,308,118,"4,534",2,77,120,G#,Major,42,33,26,92,0,13,3,,
Counting Stars,OneRepublic,1,2013,2010,1,1,29215,43,2011464183,179,97,"3,394",11,153,122,C#,Minor,66,48,71,6,0,12,4,,
Riptide,Vance Joy,1,2013,2010,1,1,31123,55,2009094673,300,65,"1,003",1,0,102,C#,Major,48,50,73,43,0,15,4,,
Wake Me Up - Radio Edit,Avicii,1,2013,2010,1,1,50887,34,1970673297,315,160,"6,284",1,46,124,D,Major,53,66,78,0,0,16,5,,
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,2010,8,16,6074,52,1953533826,201,44,"6,551",2,0,146,D,Major,63,88,93,3,0,10,8,,
The Hills,The Weeknd,1,2015,2010,5,27,25744,4,1947371785,122,94,"1,992",0,18,136,,Minor,36,12,57,9,0,14,8,,
HUMBLE.,Kendrick Lamar,1,2017,2010,3,30,33206,1,1929770265,284,114,"1,481",0,5,150,C#,Minor,91,42,60,0,0,9,12,,
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2017,2010,6,2,27705,10,1897517891,537,122,"2,726",6,,124,A,Minor,79,59,86,4,0,8,11,,
good 4 u,Olivia Rodrigo,1,2021,2020,5,14,15563,6,1887039593,259,55,461,1,,166,F#,Minor,56,68,66,28,0,11,18,,
drivers license,Olivia Rodrigo,1,2021,2020,1,8,12685,3,1858144199,185,61,485,0,,144,A#,Major,59,21,43,76,0,10,7,,
Demons,Imagine Dragons,1,2012,2010,1,1,26694,13,1840364617,65,82,"3,425",4,13,180,D#,Major,33,38,71,20,0,28,5,,
Lose Yourself - Soundtrack Version,Eminem,1,2002,2000,1,1,32502,21,1829992958,247,54,"5,567",1,51,171,D,Major,70,6,73,1,0,36,26,,
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,2021,2020,7,23,13315,0,1814349763,300,47,690,0,,150,D#,Minor,74,89,70,2,0,5,6,,
Another Love,Tom Odell,1,2012,2010,10,15,18371,83,1813673666,250,122,"3,394",19,,123,E,Minor,45,13,54,70,0,9,4,,
Mr. Brightside,The Killers,1,2003,2000,9,23,51979,15,1806617704,306,99,"5,063",2,120,148,C#,Major,35,24,93,0,0,10,8,,
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,2020,3,27,15894,8,1802514301,198,13,544,0,60,103,F#,Minor,70,92,83,1,0,7,6,,
No Role Modelz,J. Cole,1,2014,2010,12,9,21164,36,1791000570,80,65,476,0,14,100,A#,Minor,70,47,52,30,0,6,33,,
Do I Wanna Know?,Arctic Monkeys,1,2013,2010,1,1,33783,26,1788326445,133,92,"2,733",1,26,85,F,Major,55,42,53,17,0,22,3,,
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,2020,10,30,11215,21,1763363713,189,166,525,9,25,110,E,Minor,73,14,57,40,0,11,5,,
Memories,Maroon 5,1,2019,2010,9,20,9974,2,1759567999,272,67,"1,066",1,19,91,B,Major,77,60,32,84,0,8,5,,
Yellow,Chris Molitor,1,1999,1990,1,1,31358,43,1755214421,196,2,"4,053",5,0,173,B,Major,43,28,66,0,0,23,3,,
MONTERO (Call Me By Your Name),Lil Nas X,1,2020,2020,9,18,12329,0,1735441776,275,19,738,0,,179,G#,Minor,61,76,51,30,0,38,15,,
There's Nothing Holdin' Me Back,Shawn Mendes,1,2016,2010,9,23,12382,0,1714490998,229,57,"1,370",2,71,122,D,Major,86,97,80,36,0,9,6,,
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,2020,2020,7,24,12854,0,1699402402,237,27,636,0,,91,G,Minor,70,76,72,22,0,27,4,,
Till I Collapse,"Eminem, Nate Dogg",2,2002,2000,5,26,22923,0,1695712020,78,46,"2,515",1,0,171,C#,Major,55,10,85,7,0,8,20,,
Dynamite,BTS,1,2020,2020,8,21,8528,5,1692897992,239,163,583,0,,114,F#,Minor,75,74,77,1,0,9,10,,
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,1990,9,10,49991,9,1690192927,265,121,"12,367",4,160,117,C#,Major,52,73,91,0,0,11,7,,
Without Me,Eminem,1,2002,2000,1,1,21081,43,1687664027,98,76,"3,889",5,0,112,G,Major,92,67,66,0,0,36,9,,
When I Was Your Man,Bruno Mars,1,2012,2010,12,5,2420,11,1661187319,0,0,806,0,0,145,,Major,60,43,27,94,0,14,4,,
Die For You,The Weeknd,1,2016,2010,11,24,2483,59,1647990401,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7,,
Just The Way You Are,Bruno Mars,1,2010,2010,1,1,21106,13,1641426668,82,0,"2,946",0,0,109,F,Major,63,46,85,1,0,9,5,,
In The End,Linkin Park,1,2000,2000,10,24,25065,6,1624165576,63,0,"6,808",2,0,105,D#,Minor,55,40,90,1,0,32,6,,
The Scientist,Coldplay,1,2002,2000,8,5,30992,6,1608164312,124,25,"7,827",1,0,146,F,Major,56,21,44,73,0,11,2,,
Before You Go,Lewis Capaldi,1,2019,2010,11,1,8327,24,1608045237,205,130,625,0,25,112,D#,Major,45,19,60,63,0,9,6,,
