Provider Number,Location Number,Application Type,County,Facility Name,Facility Number,Line Address 1,Line Address 2,City,ZIP Code,Contact Name,Contact Phone,LICENSED Date,Capacity,From Age,To Age,Hours,Months,Full Time,Star Level 
0000555670,003,LICENSED GROUP,13. DANE,KIDS CLUB AFTER SCHOOL PROGRAM-ELEM               ,1002571,237 Pearl St,                              ,Belleville     ,53576,"NYMAN, LISA",608-712-9251,08/20/2000,20,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",07:30 AM-05:30 PM,Aug-Jun,-,2 Stars
0000555670,004,LICENSED GROUP,13. DANE,KIDS CLUB                                         ,1009252,101 S Grant St,                              ,Belleville     ,53576,"SOTO, NICHOLE",608-712-9261,09/21/2005,52,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",07:00 AM-05:30 PM,Jan-Dec,-,2 Stars
0000555670,010,LICENSED GROUP,53. ROCK,KIDS CLUB CHILDCARE CENTER                        ,1011830,420 W Hwy 11,                              ,Footville      ,53576,"NYMAN, LISA",608-876-4113,06/11/2007,25,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,3 Stars
0000555700,001,LICENSED FAMILY,53. ROCK,PEGGY'S PUMPKIN PATCH DAYCARE                     ,130052,7664 Terwilliger Rd,                              ,Clinton        ,53525,"CLOTHIER, MARGARET",608-676-4190,08/25/2002,8,"0 Year(s), 0 Month(s), 2 Week(s)","13 Year(s), 11 Month(s), 0 Week(s)",07:00 AM-07:00 PM,Jan-Dec,Y,3 Stars
0000555710,001,LICENSED GROUP,53. ROCK,KINDERCARE LEARNING CENTERS INC                   ,120073,3327 E Milwaukee St,                              ,Janesville     ,60173,"SMITH, JULIE",608-755-9970,12/29/2002,94,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,002,LICENSED GROUP,18. EAU CLAIRE,KINDERCARE                                        ,520044,2115 Fairfax St,                              ,Eau Claire     ,60173,"YACH, CHRISTINA",715-832-8099,04/24/1997,128,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:30 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,003,LICENSED GROUP,37. MARATHON,KINDERCARE LEARNING CENTER                        ,620098,5201 Alderson St,                              ,Schofield      ,60173,"TILTON, TOREY A",715-359-4118,12/31/2000,134,"0 Year(s), 0 Month(s), 5 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:30 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,004,LICENSED GROUP,51. RACINE,KINDERCARE LEARNING CTRS-3 MILE RD                ,225146,700 3 Mile Rd,                              ,Racine         ,60173,"HOCHSCHILD, LEAH",262-639-8889,11/09/2002,134,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,007,LICENSED GROUP,67. WAUKESHA,KINDERCARE LEARNING CTRS-CALHOUN                  ,220259,4080 N Calhoun Rd,                              ,Brookfield     ,60173,"COLEMAN, NANCY",262-783-4199,06/07/1997,126,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,009,LICENSED GROUP,67. WAUKESHA,KINDERCARE LEARNING CTRS-BLUEMOUND                ,220260,18205 W Bluemound Rd,                              ,Brookfield     ,60173,"KRUZYCKI, CARRIE",262-792-1112,06/07/1997,94,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,011,LICENSED GROUP,67. WAUKESHA,KINDERCARE LEARNING CTRS-SUNSET DR                ,220263,125 E Sunset Dr,                              ,Waukesha       ,60173,"KRUZYCKI, CARRIE",262-542-6994,05/19/1997,118,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,Unknown
0000555710,013,LICENSED GROUP,05. BROWN,KINDERCARE LEARNING CTRS 1035                     ,420008,1101 S Taylor St,                              ,Green Bay      ,60173,"GEURTS, EMMY",920-496-0009,11/03/2002,128,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:45 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,015,LICENSED GROUP,13. DANE,KINDERCARE LEARNING CENTER                        ,120093,6726 Raymond Rd,                              ,Madison        ,60173,"DUSCHNER, BRITTNEY",608-271-0775,11/03/2002,97,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,016,LICENSED GROUP,13. DANE,KINDERCARE LEARNING CTR-OLD SAUK                  ,120162,7126 Old Sauk Rd,                              ,Madison        ,60173,"KREKLOW, COURTNEY",608-831-1223,09/07/2001,135,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,018,LICENSED GROUP,44. OUTAGAMIE,KINDERCARE LEARNING CTRS 1304                     ,420184,3036 N Ballard Rd,                              ,Appleton       ,60173,"KAPHINGST, DANA",920-749-9878,09/24/2000,111,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:45 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,019,LICENSED GROUP,70. WINNEBAGO,KINDERCARE LEARNING CTRS 937                      ,420068,2407 S Oneida St,                              ,Appleton       ,60173,"RYF, KIM",920-738-6920,09/08/2002,134,"0 Year(s), 0 Month(s), 6 Week(s)","11 Year(s), 11 Month(s), 0 Week(s)",05:45 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,020,LICENSED GROUP,40. MILWAUKEE,KINDERCARE LEARNING CTRS-CLEVELAND                ,220267,,11423 W Cleveland Ave         ,West Allis     ,60173,"RUGER, KIMBERLY",414-541-6332,10/13/2002,128,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,021,LICENSED GROUP,40. MILWAUKEE,KINDERCARE LEARNING CTRS-FOREST HM                ,220269,,8650 W Forest Home Ave        ,Greenfield     ,60173,"HALBMAN, DEBRA A",414-425-1943,10/13/2002,128,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,022,LICENSED GROUP,40. MILWAUKEE,KINDERCARE LEARNING CTRS-PARK PL                  ,220270,10715 W Park Pl,                              ,Milwaukee      ,60173,"GORMAN, DEBRA",414-359-1234,02/25/2001,133,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,023,LICENSED GROUP,40. MILWAUKEE,KINDERCARE LEARNING CTRS-COLLEGE                  ,220268,1801 College Ave,                              ,South Milwaukee,60173,"NELSON, MICHELLE",414-762-0045,12/30/2001,104,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,024,LICENSED GROUP,40. MILWAUKEE,KINDERCARE LEARNING CTRS-N 51ST                   ,220265,8750 N 51st St,                              ,Brown Deer     ,60173,"GORMAN, DEB",414-354-3770,12/30/2001,125,"0 Year(s), 0 Month(s), 6 Week(s)","6 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,Unknown
0000555710,025,LICENSED GROUP,40. MILWAUKEE,KINDERCARE LEARNING CTRS-LOOMIS                   ,220266,5230 W Loomis Rd,                              ,Greendale      ,60173,"REKOWSKI, KATELYN",414-421-5510,10/13/2002,127,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,031,LICENSED GROUP,67. WAUKESHA,KINDERCARE LEARNING CTRS-PREMIER                  ,1000036,,W180 N9410 Premier Ln         ,Menomonee Falls,60173,"GORMAN, DEB",262-532-0098,10/21/1998,120,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,033,LICENSED GROUP,59. SHEBOYGAN,KINDERCARE LEARNING CTRS - 1019                   ,420675,3706 S 12th St,                              ,Sheboygan      ,60173,"FAUCHER, STACEY ANN",920-452-8866,11/03/2002,90,"0 Year(s), 0 Month(s), 6 Week(s)","10 Year(s), 11 Month(s), 0 Week(s)",05:30 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,034,LICENSED GROUP,05. BROWN,KINDERCARE LEARNING CTR - FINGER RD               ,420009,2280 Finger Rd,                              ,Green Bay      ,60173,"STEIN, JENNA",920-465-7900,11/03/2002,130,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:15 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,040,OUT OF STATE PROGRAM,99. NO COUNTY,KINDERCARE LEARNING CENTER LLC                    ,2100576,7380 10th St,                              ,Oakdale        ,60173,"MURPHY, KRISTIN",651-735-3711,01/01/2003,176,"0 Year(s), 0 Month(s), 0 Week(s)","11 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:30 PM,Jan-Dec,Y,Unknown
0000555750,001,LICENSED GROUP,53. ROCK,PENNYS CHILD CARE CENTER LLC                      ,120115,,4450 Milton Ave Ste 202       ,Janesville     ,53546,"GRAMLEY, PENNY",608-755-0707,12/30/1996,90,"0 Year(s), 0 Month(s), 0 Week(s)","8 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Jan-Dec,Y,2 Stars
0000555770,001,LICENSED GROUP,53. ROCK,YWCA ADAMS CHILD CARE CENTER                      ,120148,1138 E Memorial,                              ,Janesville     ,53546,"PETERNEL, LISA",608-743-6347,12/30/1996,34,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,2 Stars
0000555770,002,LICENSED GROUP,53. ROCK,YWCA DISCOVERY CENTER                             ,1003766,1735 S Washington St,                              ,Janesville     ,53546,"PETERNEL, LISA",608-752-5445,03/15/1997,50,"3 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Jan-Dec,Y,3 Stars
0000555770,006,LICENSED GROUP,53. ROCK,YWCA JEFFERSON CHILD CARE PROGRAM                 ,120347,1831 Mt Zion Ave,                              ,Janesville     ,53546,"PETERNEL, LISA",608-743-6608,07/30/2000,26,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,2 Stars
0000555770,007,LICENSED GROUP,53. ROCK,YWCA KENNEDY CHILD CARE PROGRAM                   ,1002000,3901 Randolph Rd,                              ,Janesville     ,53546,"PETERNEL, LISA",608-743-7567,07/30/2000,40,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,2 Stars
0000555770,008,LICENSED GROUP,53. ROCK,YWCA LINCOLN CHILD CARE PROGRAM                   ,120149,1821 Conde St,                              ,Janesville     ,53546,"PETERNEL, LISA",608-743-6785,07/30/2000,22,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,3 Stars
0000555770,010,LICENSED GROUP,53. ROCK,YWCA ROOSEVELT CHILD CARE PROGRAM                 ,120345,316 Ringold,                              ,Janesville     ,53546,"PETERNEL, LISA",608-743-7047,07/30/2000,34,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,4 Stars
0000555770,011,LICENSED GROUP,53. ROCK,YWCA VAN BUREN CHILD CARE PROGRAM                 ,120346,1515 Lapham,                              ,Janesville     ,53546,"PETERNEL, LISA",608-743-7147,07/30/2000,34,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,3 Stars
0000555770,012,LICENSED GROUP,53. ROCK,YWCA WASHINGTON CHILD CARE PROGRAM                ,120324,811 N Pine St,                              ,Janesville     ,53546,"PETERNEL, LISA",608-743-7247,07/30/2000,34,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,4 Stars
0000555770,013,LICENSED GROUP,53. ROCK,YWCA MONROE CHILD CARE PROGRAM                    ,1002940,55 S Pontiac,                              ,Janesville     ,53546,"PETERNEL, LISA",608-743-6947,07/30/2000,34,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,4 Stars
0000555770,014,LICENSED GROUP,53. ROCK,YWCA HARRISON CHILD CARE PROGRAM                  ,1003141,760 Princeton Rd,                              ,Janesville     ,53546,"PETERNEL, LISA",608-743-6447,08/27/2000,34,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,2 Stars
0000555770,016,LICENSED GROUP,53. ROCK,YWCA MADISON CHILD CARE PROGRAM                   ,1008120,331 N Grant Ave,                              ,Janesville     ,53546,"PETERNEL, LISA",608-743-6847,08/22/2004,40,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,3 Stars
0000555770,026,LICENSED GROUP,53. ROCK,YWCA HARMONY CHILD CARE PROGRAM                   ,1013737,4243 E Rotamer Rd,                              ,Janesville     ,53546,"PETERNEL, LISA",608-868-9360,10/06/2008,50,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,2 Stars
0000555770,028,LICENSED GROUP,53. ROCK,YWCA CONSOLIDATED CHILDCARE CENTER                ,2002542,4838 N County Road F,                              ,Janesville     ,53546,"PETERNEL, LISA",608-868-9595,09/01/2015,20,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-08:35 AM,Jan-Dec,-,3 Stars
0000555890,001,LICENSED GROUP,54. RUSK,KIDS ETC                                          ,520492,701 Menasha Ave,                              ,Ladysmith      ,54848,"OPELT, STACEY",715-532-5200,12/05/2002,32,"5 Year(s), 0 Month(s), 0 Week(s)","14 Year(s), 0 Month(s), 0 Week(s)",05:30 AM-05:30 PM,Jan-Dec,-,2 Stars
0000555890,002,LICENSED GROUP,54. RUSK,TENDER LEARNING CENTER                            ,1006786,611 E Menasha Ave,                              ,Ladysmith      ,54848,"VOJTACEK, BOBBI JO",715-532-5200,12/05/2002,65,"0 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",04:30 AM-05:30 PM,Jan-Dec,Y,2 Stars
0000556000,001,LICENSED FAMILY,32. LA CROSSE,KIDS ARE MY BUSINESS                              ,530954,1026 Rose St,                              ,La Crosse      ,54603,"MENDEZ, RAMONA E",608-738-4375,10/06/2002,8,"0 Year(s), 0 Month(s), 1 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,2 Stars
0000556030,001,LICENSED GROUP,32. LA CROSSE,MERRI'S MUNCHKINS TOO LLC                         ,1001322,1838 Sunset Ln,                              ,La Crosse      ,54603,"CULBERT, JAIME",608-781-2446,10/06/2002,60,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,3 Stars
0000556110,001,LICENSED GROUP,32. LA CROSSE,GUNDERSEN LUTHERAN CHILD CARE CTR                 ,520211,700 Bennora Lee Ct,                              ,La Crosse      ,54601,"LADWIG, DIANE",608-775-4714,10/06/2002,101,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,Unknown
0000556170,001,LICENSED FAMILY,18. EAU CLAIRE,NANCY'S FAMILY CHILD CARE                         ,1006862,1211 Lynn Ave,                              ,Altoona        ,54720,"GLEBKE, NANCY",715-864-1557,12/01/2001,8,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",08:30 AM-08:30 PM,Jan-Dec,Y,Unknown
0000556260,001,LICENSED FAMILY,09. CHIPPEWA,CAROL BRENNER'S CHILDCARE                         ,530856,3713 Robin Rd,                              ,Eau Claire     ,54703,"BRENNER, CAROL",715-834-8177,12/30/2000,8,"0 Year(s), 0 Month(s), 4 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",-11:59 PM,Jan-Dec,Y,2 Stars
0000556350,002,LICENSED GROUP,29. JUNEAU,CHILDREN'S COTTAGE                                ,1014062,W10460 County Road Pp,                              ,Elroy          ,53929,"BENISH, KARI",608-462-8356,03/10/2009,36,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:30 AM-05:30 PM,Jan-Dec,Y,Unknown
0000556380,001,LICENSED GROUP,18. EAU CLAIRE,COLOR MY WORLD CHILD CARE NORTH                   ,520011,1903 Western Ave,                              ,Eau Claire     ,54703,"QUILLING, JENIFER",715-835-2060,05/13/1997,75,"0 Year(s), 0 Month(s), 4 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:30 AM-06:00 PM,Jan-Dec,Y,3 Stars
0000556530,001,LICENSED FAMILY,34. LANGLADE,MARCINIAKS DAYCARE                                ,630230,W10363 Hwy G,                              ,Antigo         ,54409,"MARCINIAK, JOAN L",715-623-4580,05/16/1997,8,"0 Year(s), 2 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,2 Stars
0000556590,001,LICENSED FAMILY,55. ST. CROIX,TEDDY BEAR PLAYGROUND                             ,530843,1180 Main St,                              ,Baldwin        ,54002,"SMITH, DEBRA J",715-684-3882,12/09/2000,8,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-05:00 PM,Jan-Dec,Y,2 Stars
0000556710,001,LICENSED FAMILY,11. COLUMBIA,ABLEMAN DAY CARE                                  ,1012136,427 Wisconsin Ave,                              ,Wisc Dells     ,53965,"ABLEMAN, DOREEN",608-254-6441,05/20/1997,8,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-05:00 PM,Jan-Dec,Y,2 Stars
0000556760,001,LICENSED FAMILY,35. LINCOLN,KAREN'S FAMILY CHILDCARE                          ,1002453,W5398 Taylor St,                              ,Merrill        ,54452,"GRUND, KAREN",715-722-0058,04/20/1997,8,"0 Year(s), 0 Month(s), 2 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:15 AM-05:15 PM,Jan-Dec,Y,5 Stars
0000556980,001,LICENSED FAMILY,12. CRAWFORD,NOAH'S ARK FAMILY DAYCARE                         ,131240,921 S Beaumont Rd,                              ,Pr Du Chien    ,53821,"MORIS, NORA J",608-326-6974,08/06/2000,8,"0 Year(s), 0 Month(s), 4 Week(s)","10 Year(s), 11 Month(s), 0 Week(s)",05:30 AM-05:30 PM,Jan-Dec,Y,2 Stars
0000557000,001,LICENSED GROUP,37. MARATHON,WAUSAU CHILD CARE WEST SIDE CTR                   ,620079,505 N 28th Ave,                              ,Wausau         ,54401,"DWELLY, LISA",715-848-1437,12/31/2000,132,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000557000,002,LICENSED GROUP,37. MARATHON,WCC-FRANKLIN SUMMER PROGRAM                       ,620125,1509 N 5th St,                              ,Wausau         ,54401,"HINES, SAMANTHA",715-845-4110,08/26/2001,82,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Jun-Sep,-,2 Stars
0000557000,004,LICENSED GROUP,37. MARATHON,WAUSAU CHILD CARE-FRANKLIN ST CTR                 ,620078,721 Franklin St,                              ,Wausau         ,54401,"HICKMAN, COURTNEY",715-848-7221,12/31/2000,92,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000557000,005,LICENSED GROUP,37. MARATHON,WCC-GD JONES BEFORE AND AFTER SCHOOL              ,620403,1018 S 12th Ave,Gd Jones Elementary School    ,Wausau         ,54401,"HINES, SAMANTHA",715-845-4110,05/29/1997,13,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-08:30 AM,Sep-Jul,-,Unknown
0000557000,009,LICENSED GROUP,37. MARATHON,WCC-JEFFERSON BEFORE-AFTER SCHOOL                 ,620202,500 W Randolph St,                              ,Wausau         ,54401,"HINES, SAMANTHA",715-845-4110,09/15/2000,28,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-08:30 AM,Sep-Jun,-,Unknown
0000557000,010,LICENSED GROUP,37. MARATHON,WCC-MARSHALL BEFORE-AFTER SCHOOL                  ,620161,1918 Lamont St,John Marshall Elementary Sch  ,Wausau         ,54401,"HINES, SAMATHA",715-845-4110,09/15/2000,45,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Jun-Aug,-,Unknown
