provider_number,location_number,application_type,county,facility_name,facility_number,line_address_1,line_address_2,city,zip_code,contact_name,contact_phone,licensed_date,capacity,from_age,to_age,hours,months,full_time,star_level,search_link
555670,3,LICENSED GROUP,13. DANE,KIDS CLUB AFTER SCHOOL PROGRAM-ELEM,1002571,237 Pearl St,NA,Belleville,53576,"NYMAN, LISA",608-712-9251,08/20/2000,20,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",07:30 AM-05:30 PM,Aug-Jun,-,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555670&LocationNumber=3
555670,4,LICENSED GROUP,13. DANE,KIDS CLUB,1009252,101 S Grant St,NA,Belleville,53576,"SOTO, NICHOLE",608-712-9261,09/21/2005,52,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",07:00 AM-05:30 PM,Jan-Dec,-,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555670&LocationNumber=4
555670,10,LICENSED GROUP,53. ROCK,KIDS CLUB CHILDCARE CENTER,1011830,420 W Hwy 11,NA,Footville,53576,"NYMAN, LISA",608-876-4113,06/11/2007,25,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,3 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555670&LocationNumber=10
555700,1,LICENSED FAMILY,53. ROCK,PEGGY'S PUMPKIN PATCH DAYCARE,130052,7664 Terwilliger Rd,NA,Clinton,53525,"CLOTHIER, MARGARET",608-676-4190,08/25/2002,8,"0 Year(s), 0 Month(s), 2 Week(s)","13 Year(s), 11 Month(s), 0 Week(s)",07:00 AM-07:00 PM,Jan-Dec,Y,3 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555700&LocationNumber=1
555710,1,LICENSED GROUP,53. ROCK,KINDERCARE LEARNING CENTERS INC,120073,3327 E Milwaukee St,NA,Janesville,60173,"SMITH, JULIE",608-755-9970,12/29/2002,94,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:00 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=1
555710,2,LICENSED GROUP,18. EAU CLAIRE,KINDERCARE,520044,2115 Fairfax St,NA,Eau Claire,60173,"YACH, CHRISTINA",715-832-8099,04/24/1997,128,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:30 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=2
555710,3,LICENSED GROUP,37. MARATHON,KINDERCARE LEARNING CENTER,620098,5201 Alderson St,NA,Schofield,60173,"TILTON, TOREY A",715-359-4118,12/31/2000,134,"0 Year(s), 0 Month(s), 5 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:30 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=3
555710,4,LICENSED GROUP,51. RACINE,KINDERCARE LEARNING CTRS-3 MILE RD,225146,700 3 Mile Rd,NA,Racine,60173,"HOCHSCHILD, LEAH",262-639-8889,11/09/2002,134,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=4
555710,7,LICENSED GROUP,67. WAUKESHA,KINDERCARE LEARNING CTRS-CALHOUN,220259,4080 N Calhoun Rd,NA,Brookfield,60173,"COLEMAN, NANCY",262-783-4199,06/07/1997,126,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=7
555710,9,LICENSED GROUP,67. WAUKESHA,KINDERCARE LEARNING CTRS-BLUEMOUND,220260,18205 W Bluemound Rd,NA,Brookfield,60173,"KRUZYCKI, CARRIE",262-792-1112,06/07/1997,94,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=9
